what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.oomph.workingsets,1.6.0.v20161019-0656,"org.eclipse.oomph.workingsets",1505778838591
started,bundle,org.eclipse.oomph.workingsets.editor,1.6.0.v20161111-1110,"org.eclipse.oomph.workingsets.editor",1505778838592
started,bundle,org.eclipse.pde.core,3.11.1.v20161115-1951,"org.eclipse.pde.core",1505778838593
started,bundle,org.eclipse.pde.launching,3.6.401.v20161115-0549,"org.eclipse.pde.launching",1505778838594
started,bundle,org.eclipse.pde.ui,3.9.100.v20161102-0517,"org.eclipse.pde.ui",1505778838597
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201403100950,"org.eclipse.rse.connectorservice.local",1505778838598
started,bundle,org.eclipse.rse.core,3.3.100.201603151753,"org.eclipse.rse.core",1505778838598
started,bundle,org.eclipse.rse.files.ui,3.2.200.201507172213,"org.eclipse.rse.files.ui",1505778838598
started,bundle,org.eclipse.rse.services,3.3.0.201506120731,"org.eclipse.rse.services",1505778838600
started,bundle,org.eclipse.rse.services.local,2.2.1.201507180454,"org.eclipse.rse.services.local",1505778838600
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201403100950,"org.eclipse.rse.subsystems.files.core",1505778838601
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201403251512,"org.eclipse.rse.subsystems.files.local",1505778838602
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.300.201403271554,"org.eclipse.rse.subsystems.shells.core",1505778838603
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.local",1505778838604
started,bundle,org.eclipse.rse.ui,3.3.300.201610252046,"org.eclipse.rse.ui",1505778838606
started,bundle,org.eclipse.team.core,3.8.0.v20160418-1534,"org.eclipse.team.core",1505778838607
started,bundle,org.eclipse.team.ui,3.8.0.v20160518-1906,"org.eclipse.team.ui",1505778838608
started,bundle,org.eclipse.tm.terminal.view.ui,4.2.0.201609191434,"org.eclipse.tm.terminal.view.ui",1505778838610
started,bundle,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui",1505778838612
started,bundle,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console",1505778838613
started,bundle,org.eclipse.ui.editors,3.10.1.v20161106-1856,"org.eclipse.ui.editors",1505778838615
started,bundle,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.ide",1505778838619
started,bundle,org.eclipse.ui.ide.application,1.1.101.v20160829-0827,"org.eclipse.ui.ide.application",1505778838620
started,bundle,org.eclipse.ui.intro,3.5.2.v20161116-1147,"org.eclipse.ui.intro",1505778838620
started,bundle,org.eclipse.ui.intro.quicklinks,1.0.0.v20160515-0255,"org.eclipse.ui.intro.quicklinks",1505778838621
started,bundle,org.eclipse.ui.intro.universal,3.3.1.v20160829-1558,"org.eclipse.ui.intro.universal",1505778838621
started,bundle,org.eclipse.ui.monitoring,1.1.1.v20161028-1850,"org.eclipse.ui.monitoring",1505778838622
started,bundle,org.eclipse.ui.navigator,3.6.101.v20161006-1120,"org.eclipse.ui.navigator",1505778838623
started,bundle,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.resources",1505778838624
started,bundle,org.eclipse.ui.net,1.3.0.v20160426-1633,"org.eclipse.ui.net",1505778838625
started,bundle,org.eclipse.ui.themes,1.1.300.v20161107-1827,"org.eclipse.ui.themes",1505778838625
started,bundle,org.eclipse.ui.trace,1.0.400.v20160509-1055,"org.eclipse.ui.trace",1505778838625
started,bundle,org.eclipse.ui.views.log,1.2.1.v20160829-0826,"org.eclipse.ui.views.log",1505778838626
started,bundle,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"org.eclipse.ui.workbench",1505778838628
started,bundle,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.workbench.texteditor",1505778838630
started,bundle,org.eclipse.update.configurator,3.3.400.v20160506-0750,"org.eclipse.update.configurator",1505778838631
started,bundle,org.eclipse.userstorage,1.0.0.v20160524-0709,"org.eclipse.userstorage",1505778838632
started,bundle,org.eclipse.userstorage.ui,1.0.0.v20151216-0912,"org.eclipse.userstorage.ui",1505778838633
started,bundle,org.eclipse.wst.common.emf,1.2.400.v201505132009,"org.eclipse.wst.common.emf",1505778838633
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107081800,"org.eclipse.wst.common.emfworkbench.integration",1505778838634
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1505778838635
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1505778838635
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1505778838636
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1505778838639
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1505778838641
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1505778838642
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1505778838643
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1505778838647
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1505778838648
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1505778838650
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1505778838662
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1505778838663
os,sysinfo,,,"win32",1505778838669
arch,sysinfo,,,"x86_64",1505778838669
ws,sysinfo,,,"win32",1505778838669
locale,sysinfo,,,"pt_BR",1505778838669
processors,sysinfo,,,"4",1505778838669
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1505778838669
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1505778838669
java.specification.name,sysinfo,,,"Java Platform API Specification",1505778838669
java.specification.vendor,sysinfo,,,"Oracle Corporation",1505778838669
java.specification.version,sysinfo,,,"1.8",1505778838669
java.vendor,sysinfo,,,"Oracle Corporation",1505778838669
java.version,sysinfo,,,"1.8.0_102",1505778838669
java.vm.info,sysinfo,,,"mixed mode",1505778838669
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1505778838669
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1505778838669
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1505778838669
java.vm.specification.version,sysinfo,,,"1.8",1505778838669
java.vm.vendor,sysinfo,,,"Oracle Corporation",1505778838669
java.vm.version,sysinfo,,,"25.102-b14",1505778838669
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778838976
